ex_name,run_id,bottleneck_tput,q_size,scheme_a,scheme_b,rtprop_a,rtprop_b,runtime,loss,interval_fairness,time_to_max_fairness,delay,throughput,duration,throughput_rsd1,throughput_rsd2,throughput_rsd3,throughput_rsd4,throughput_rsd5,throughput_rsd6,95percentile_bottleneck_delay,bottleneck_rtprop,flow_data,group_interval_fairness,group_overall_fairness,mean_bottleneck_delay,overall_fairness,scheme_a_tput,scheme_b_tput
3xvegas0ms_3xvegas25ms_queue335410B,1,12,335410,vegas,vegas,0,50,90,0.0011337652391015807,0.4943344760661069,0.5,,11.98101817290404,90006.08799999999,0.9727494054075212,1.0680536085088248,1.0343720508896905,0.8671741150670106,0.35029392423018824,0.22868140012046254,154.706,50.0,"{1: {'delay': 146.396, 'loss': 0.0, 'tput': 3.060227799069286}, 'all': {'delay': 154.706, 'loss': 0.0011337652391015807, 'tput': 11.98101817290404}, 3: {'delay': 165.807, 'loss': 0.0005295047083558879, 'tput': 0.8860299654447075}, 4: {'delay': 177.363, 'loss': 0.0016077043593739626, 'tput': 2.4887597184263814}, 5: {'delay': 147.66, 'loss': 0.003282231660785895, 'tput': 1.5651573295522665}, 6: {'delay': 146.609, 'loss': 0.0013160995022272193, 'tput': 6.1814426077835884}, 2: {'delay': 163.247, 'loss': 0.0, 'tput': 0.9558979769924072}}",0.7731131656796836,0.7738142208727068,132.70752858843557,0.5233113514200126,4.902155741506402,10.235359655762236
3xvegas0ms_3xvegas25ms_queue452563B,1,12,452563,vegas,vegas,0,50,90,0.0009116043768631066,0.8159181531122686,17.5,,11.981064296378577,90011.337,0.6752791251446539,0.3894895915620594,0.4830506712248955,0.486790647470391,0.2759975526449348,0.21954834951561844,225.466,50.0,"{1: {'delay': 241.025, 'loss': 0.00010843746623379058, 'tput': 4.246623832323433}, 'all': {'delay': 225.466, 'loss': 0.0009116043768631066, 'tput': 11.981064296378577}, 3: {'delay': 244.042, 'loss': 0.0010195077907009242, 'tput': 1.3916599561756302}, 4: {'delay': 204.538, 'loss': 0.0033672584138866313, 'tput': 1.8531140570109466}, 5: {'delay': 179.6, 'loss': 0.0006203426739845863, 'tput': 2.769027905292174}, 6: {'delay': 169.037, 'loss': 0.0012350922309239953, 'tput': 2.995707013197675}, 2: {'delay': 235.445, 'loss': 0.00010457593621260308, 'tput': 1.5099066825820098}}",0.9988222597958126,0.9836337673175358,160.7087717861712,0.8656612138474437,7.148190471081072,7.617848975500795
3xvegas0ms_3xvegas25ms_queue1111701B,1,12,1111701,vegas,vegas,0,50,90,0.0004449037300995329,0.6512753341869368,12.5,,11.981062544584363,90009.136,0.6728552120298537,0.9686942652136529,0.7395734590622709,0.7289178534432803,0.2303989152937673,0.24543368461069737,176.219,50.0,"{1: {'delay': 154.761, 'loss': 0.0, 'tput': 4.456554144943723}, 'all': {'delay': 176.219, 'loss': 0.0004449037300995329, 'tput': 11.981062544584363}, 3: {'delay': 198.238, 'loss': 0.0, 'tput': 1.228902008579798}, 4: {'delay': 200.69, 'loss': 0.00037368922276959093, 'tput': 2.573298112998616}, 5: {'delay': 162.69, 'loss': 0.0011118447639375528, 'tput': 3.0893168331715533}, 6: {'delay': 154.32, 'loss': 0.0010002055660582876, 'tput': 2.5890376119850855}, 2: {'delay': 188.258, 'loss': 0.0, 'tput': 0.9245987608876594}}",0.9900091996158923,0.9639737722077752,132.6272309891748,0.7501376733673033,6.61005491441118,8.251652558155255
3xvegas0ms_3xvegas25ms_queue75000B,1,12,75000,vegas,vegas,0,50,90,0.0026999704003245473,0.9506580281835884,51.0,,11.96605803586114,90012.587,0.9782360752894308,0.7605834866771802,0.30343863143985833,0.18036411802500563,0.279785909374984,0.17180637108277366,50.229,50.0,"{1: {'delay': 67.859, 'loss': 0.00619809191928089, 'tput': 2.676839246210328}, 'all': {'delay': 50.229, 'loss': 0.0026999704003245473, 'tput': 11.96605803586114}, 3: {'delay': 46.354, 'loss': 0.0007856973745136164, 'tput': 2.014674688195879}, 4: {'delay': 46.231, 'loss': 0.002043959190936917, 'tput': 2.8932114599971053}, 5: {'delay': 46.138, 'loss': 0.003190382744252096, 'tput': 2.1988775589957834}, 6: {'delay': 45.905, 'loss': 0.0020808781860846004, 'tput': 2.8374632321235524}, 2: {'delay': 48.354, 'loss': 0.0009852459669082991, 'tput': 2.078297040917003}}",0.9627067894442544,0.9542940690294729,42.42340056140976,0.9370944147102866,6.76981097532321,7.929552251116441
3xvegas0ms_3xvegas25ms_queue136542B,1,12,136542,vegas,vegas,0,50,90,0.0027864262659952344,0.5958156932074347,0.0,,11.975442057365381,90012.75200000001,1.3767077100298806,0.9165644281075341,0.8918219766858606,0.5379239349934216,0.2884673683306947,0.11369890826773589,55.463,50.0,"{1: {'delay': 68.019, 'loss': 0.010445375550838576, 'tput': 2.0012816914884017}, 'all': {'delay': 55.463, 'loss': 0.0027864262659952344, 'tput': 11.975442057365381}, 3: {'delay': 60.988, 'loss': 0.001919966577221821, 'tput': 1.6418493196564072}, 4: {'delay': 56.995, 'loss': 0.004417246422079524, 'tput': 2.1659233946554486}, 5: {'delay': 51.726, 'loss': 0.0007045898864107558, 'tput': 1.947603659616311}, 6: {'delay': 50.76, 'loss': 0.0004613135433044757, 'tput': 5.60836828123793}, 2: {'delay': 58.304, 'loss': 0.0002884657544994784, 'tput': 1.603083355501266}}",0.7937265709086944,0.7937455807255898,46.72274689461733,0.5960085758050496,5.246214366646075,9.72189533550969
3xvegas0ms_3xvegas50ms_queue1500000B,1,12,1500000,vegas,vegas,0,100,90,0.003912830154558455,0.6047402183524567,5.0,,11.981130732982006,90004.556,1.108401943767801,0.8935027026950941,1.573924402613808,0.23515047691807814,0.4245133615582509,0.40152767483861024,592.506,50.0,"{1: {'delay': 577.164, 'loss': 8.829584429137505e-05, 'tput': 3.0243482708208713}, 'all': {'delay': 592.506, 'loss': 0.003912830154558455, 'tput': 11.981130732982006}, 3: {'delay': 594.734, 'loss': 0.001406816947229772, 'tput': 0.533586698489659}, 4: {'delay': 596.135, 'loss': 0.004321970213341464, 'tput': 4.7349049406783195}, 5: {'delay': 603.494, 'loss': 0.002715057437040036, 'tput': 2.029091249848213}, 6: {'delay': 594.885, 'loss': 0.010406105153729861, 'tput': 3.2945591010679274}, 2: {'delay': 488.802, 'loss': 0.0, 'tput': 0.7387127617877839}}",0.7152811894506318,0.7223576405494752,421.9143597845921,0.6417783122052758,4.296647731098314,10.058555291594459
3xvegas0ms_3xvegas50ms_queue248584B,1,12,248584,vegas,vegas,0,100,90,0.0015886911380305069,0.6141910827216647,0.0,,11.980768617606243,90012.458,1.757394834548881,0.5664605047664157,0.7291332322654248,0.41385853241309445,0.17247842854570777,0.1687204850313844,122.324,50.0,"{1: {'delay': 129.51, 'loss': 0.0005704061862452647, 'tput': 1.9205190112007609}, 'all': {'delay': 122.324, 'loss': 0.0015886911380305069, 'tput': 11.980768617606243}, 3: {'delay': 129.038, 'loss': 0.002347084558621315, 'tput': 1.261737083991154}, 4: {'delay': 116.288, 'loss': 0.004940893531773294, 'tput': 2.066846316897223}, 5: {'delay': 101.192, 'loss': 0.000587728569421686, 'tput': 3.213436066026444}, 6: {'delay': 98.224, 'loss': 0.0014952084549851863, 'tput': 4.943261292037938}, 2: {'delay': 128.236, 'loss': 0.00010560117056790386, 'tput': 1.4792244295273356}}",0.7138782876959177,0.7138882653192254,96.37251578162724,0.6204886272277795,4.66148052471925,10.223543674961606
3xvegas0ms_3xvegas50ms_queue184234B,1,12,184234,vegas,vegas,0,100,90,0.0010004535092811295,0.534431039148065,0.0,,11.98124201955867,90009.903,1.542707008758993,0.7804547901008989,0.8063204442171593,0.2912000132822074,0.2964688450758044,0.1708964104387942,117.6,50.0,"{1: {'delay': 127.869, 'loss': 0.0005284356508055144, 'tput': 2.1575922244383827}, 'all': {'delay': 117.6, 'loss': 0.0010004535092811295, 'tput': 11.98124201955867}, 3: {'delay': 119.528, 'loss': 0.00037132622213364996, 'tput': 1.2606869904196478}, 4: {'delay': 78.828, 'loss': 0.0026077749942193806, 'tput': 1.7173966325042629}, 5: {'delay': 76.629, 'loss': 0.0014246746043203862, 'tput': 2.64833900129761}, 6: {'delay': 74.038, 'loss': 0.0008693999054092405, 'tput': 5.95283787301216}, 2: {'delay': 124.848, 'loss': 0.0001196793359743431, 'tput': 1.2849711723372557}}",0.7026610566965058,0.7026413608604778,75.85839591028437,0.5395912458136801,4.703250387195286,10.318573506814033
3xvegas0ms_3xvegas50ms_queue610635B,1,12,610635,vegas,vegas,0,100,90,0.003735904333178941,0.470049983057532,34.0,,11.980796727078125,90012.781,2.0422466298440987,1.6800621891699694,1.6707069945981872,0.27740787967697195,0.2789101077703149,0.3662630994710014,358.819,50.0,"{1: {'delay': 285.814, 'loss': 0.00024318824326430288, 'tput': 1.6482022211173881}, 'all': {'delay': 358.819, 'loss': 0.003735904333178941, 'tput': 11.980796727078125}, 3: {'delay': 373.951, 'loss': 0.0012394268625776084, 'tput': 0.6058811033507358}, 4: {'delay': 367.713, 'loss': 0.0010999150479648057, 'tput': 5.536493083144951}, 5: {'delay': 378.899, 'loss': 0.005099189966216722, 'tput': 2.184949951757816}, 6: {'delay': 291.446, 'loss': 0.009914830848458456, 'tput': 4.064023922023732}, 2: {'delay': 315.873, 'loss': 0.0015722837226407327, 'tput': 0.6287554192412237}}",0.5336643636606054,0.5372588686090518,259.2840817534491,0.48042804759109553,2.8828387437093475,11.785466956926498
3xvegas0ms_3xvegas50ms_queue101196B,1,12,101196,vegas,vegas,0,100,90,0.0019252811088479316,0.904716270307294,32.0,,11.956309029179563,90011.73300000001,1.1824375077075966,0.750076967196675,0.6814220691476728,0.2316708769242951,0.2380749706973185,0.16426035290437482,50.806,50.0,"{1: {'delay': 55.905, 'loss': 0.002965203534206373, 'tput': 2.292323388884158}, 'all': {'delay': 50.806, 'loss': 0.0019252811088479316, 'tput': 11.956309029179563}, 3: {'delay': 54.086, 'loss': 0.0010010923029349916, 'tput': 1.902954849746705}, 4: {'delay': 49.795, 'loss': 0.0010064230665606244, 'tput': 2.863306447741137}, 5: {'delay': 49.973, 'loss': 0.003535772589882691, 'tput': 2.7108055932761137}, 6: {'delay': 48.464, 'loss': 0.0020199395372926254, 'tput': 3.015422699596168}, 2: {'delay': 56.774, 'loss': 0.0007123798531800674, 'tput': 1.9858097713763876}}",0.911407686117184,0.9024459477520607,44.059686183792465,0.8995919540784779,6.181088010007251,8.58953474061342
3xvegas0ms_3xvegas50ms_queue823920B,1,12,823920,vegas,vegas,0,100,90,0.003128152649116367,0.5962915121182909,2.5,,11.98103933135867,90009.273,1.5498382957197652,1.2631087649880577,0.5775700789821486,0.35597020252091166,0.3101970533310184,0.2614934321582549,523.515,50.0,"{1: {'delay': 527.896, 'loss': 0.0007055037602566872, 'tput': 2.2699528044778257}, 'all': {'delay': 523.515, 'loss': 0.003128152649116367, 'tput': 11.98103933135867}, 3: {'delay': 518.637, 'loss': 0.000145551085519946, 'tput': 1.0446307873227243}, 4: {'delay': 533.588, 'loss': 0.002547472067490175, 'tput': 3.5847336395425953}, 5: {'delay': 524.736, 'loss': 0.003146213764280925, 'tput': 3.7749416758926615}, 6: {'delay': 234.564, 'loss': 0.007704545994123069, 'tput': 3.2396119120002007}, 2: {'delay': 438.402, 'loss': 0.0018013463262441798, 'tput': 0.6268865763583429}}",0.6309365929080024,0.6394986260831751,258.49593582554513,0.632084767852691,3.941470168158893,10.599287227435457
3xvegas0ms_3xvegas50ms_queue335410B,1,12,335410,vegas,vegas,0,100,90,0.0015886781007249384,0.49160301776786564,7.5,,11.980860304649434,90012.509,1.7900670014904108,1.2719048522778493,1.1985568740808445,0.7841966208674599,0.238761697258225,0.22741310748873145,94.963,50.0,"{1: {'delay': 104.078, 'loss': 0.003551760195976028, 'tput': 1.5709948894089263}, 'all': {'delay': 94.963, 'loss': 0.0015886781007249384, 'tput': 11.980860304649434}, 3: {'delay': 86.028, 'loss': 0.0002692367890891889, 'tput': 1.1356140499209904}, 4: {'delay': 117.734, 'loss': 0.002483424967222647, 'tput': 2.767747727538864}, 5: {'delay': 95.067, 'loss': 0.0012746848023155177, 'tput': 2.1528916504393742}, 6: {'delay': 80.733, 'loss': 0.001094087824942025, 'tput': 6.080563309018067}, 2: {'delay': 79.541, 'loss': 0.0005007905813978475, 'tput': 1.228010202332834}}",0.6811667315873648,0.6756618963614158,72.78910376707756,0.5276147499624834,3.9346191416627505,11.001202686996304
3xvegas0ms_3xvegas50ms_queue452563B,1,12,452563,vegas,vegas,0,100,90,0.0003792539352280855,0.5025745300597796,18.5,,11.946588904202649,90016.352,0.6811120655326929,1.1382913988259704,1.1057728771618964,0.6782710568579003,0.5735006155776927,0.35494333952672064,215.087,50.0,"{1: {'delay': 190.146, 'loss': 0.0, 'tput': 4.82088174555556}, 'all': {'delay': 215.087, 'loss': 0.0003792539352280855, 'tput': 11.946588904202649}, 3: {'delay': 204.44, 'loss': 0.0, 'tput': 1.0850602728117078}, 4: {'delay': 226.539, 'loss': 0.00018951211327733475, 'tput': 2.537961075090067}, 5: {'delay': 226.793, 'loss': 0.0016499338442526046, 'tput': 2.600620238971916}, 6: {'delay': 212.488, 'loss': 0.0003870437700058682, 'tput': 2.8724762824316716}, 2: {'delay': 198.45, 'loss': 0.0, 'tput': 0.9221517775321926}}",0.9396376192650517,0.9733710180061547,151.08109965191002,0.6728263936694089,6.828093795899461,8.011057596493655
3xvegas0ms_3xvegas50ms_queue1111701B,1,12,1111701,vegas,vegas,0,100,90,0.0004124482254856954,0.5296412239330986,21.0,,11.954715796537624,90010.902,0.7806265757644797,1.1240193689675586,1.0797247135836319,0.7062646374211989,0.5896789024108036,0.3149697754647424,211.366,50.0,"{1: {'delay': 190.883, 'loss': 0.0, 'tput': 4.295878842501991}, 'all': {'delay': 211.366, 'loss': 0.0004124482254856954, 'tput': 11.954715796537624}, 3: {'delay': 205.896, 'loss': 0.0, 'tput': 1.0669135757860917}, 4: {'delay': 226.042, 'loss': 0.00038323664982353733, 'tput': 2.5097939933670057}, 5: {'delay': 226.282, 'loss': 0.001618110130215178, 'tput': 2.6523597237779173}, 6: {'delay': 197.373, 'loss': 0.00031638690096358335, 'tput': 3.513826233538931}, 2: {'delay': 195.93, 'loss': 0.0, 'tput': 0.9018760665820227}}",0.9666189647708211,0.9204931057378597,151.28907985549742,0.7146710866615997,6.264668484870105,8.675979950683853
3xvegas0ms_3xvegas50ms_queue75000B,1,12,75000,vegas,vegas,0,100,90,0.002429071989314524,0.9552141237404476,50.0,,11.935380479363163,90012.924,0.8390204307272922,0.5872619184537355,0.706001141875678,0.29132772671111756,0.2086977721670134,0.16769146370063942,47.222,50.0,"{1: {'delay': 50.232, 'loss': 0.005232330219604897, 'tput': 3.009491306426934}, 'all': {'delay': 47.222, 'loss': 0.002429071989314524, 'tput': 11.935380479363163}, 3: {'delay': 47.195, 'loss': 0.0012474287375148219, 'tput': 2.0309315662767817}, 4: {'delay': 46.907, 'loss': 0.0007575041730063514, 'tput': 1.9025814993355576}, 5: {'delay': 47.041, 'loss': 0.0020463704512595493, 'tput': 3.014613184939787}, 6: {'delay': 46.238, 'loss': 0.002909644430870051, 'tput': 2.7883081741534985}, 2: {'delay': 48.285, 'loss': 0.0007230056985702005, 'tput': 1.9609838244771713}}",0.9818207866406813,0.9668938135573326,41.56023534798535,0.9248971633181693,7.0014066971808875,7.705502858428843
3xvegas0ms_3xvegas50ms_queue136542B,1,12,136542,vegas,vegas,0,100,90,0.0010893199045335367,0.586624707237299,5.0,,11.9799621627991,90016.701,1.4001691771072053,1.1080414511385355,1.008372661627858,0.5984147429198508,0.26307652519385705,0.16925394456430087,66.028,50.0,"{1: {'delay': 65.451, 'loss': 0.0013904335440092508, 'tput': 1.993371692505042}, 'all': {'delay': 66.028, 'loss': 0.0010893199045335367, 'tput': 11.9799621627991}, 3: {'delay': 67.295, 'loss': 0.0005915410575240143, 'tput': 1.3265651845667037}, 4: {'delay': 72.406, 'loss': 0.0034370420459718387, 'tput': 1.6730221733338577}, 5: {'delay': 71.141, 'loss': 0.0003806805146394643, 'tput': 3.1559126359496674}, 6: {'delay': 64.444, 'loss': 0.000998274614285033, 'tput': 5.3670461535014145}, 2: {'delay': 64.271, 'loss': 0.00020131417896029902, 'tput': 1.5193300737696869}}",0.7460657238195082,0.7417090017907744,55.703106751073626,0.5962824849791933,4.8392669508414325,10.19598096278494
