,ex_name,run_id,bottleneck_tput,q_size,scheme_a,scheme_b,rtprop_a,rtprop_b,runtime,loss,interval_fairness,time_to_max_fairness,delay,throughput,duration,throughput_rsd1,throughput_rsd2,throughput_rsd3,throughput_rsd4,throughput_rsd5,throughput_rsd6,95percentile_bottleneck_delay,bottleneck_rtprop,converged_tput,flow_data,group_interval_fairness,group_overall_fairness,mean_bottleneck_delay,overall_fairness,scheme_a_tput,scheme_b_tput
307,3xbbr0ms_3xcubic50ms_queue136542B,1,12,136542,bbr,cubic,0,100,90,0.01749682008550113,0.7134262902258788,47.0,,11.857947375977915,90012.276,0.5209189888007576,0.19498878039774328,0.16095231915691793,0.34063107135971044,0.2340237289595773,0.3254558346830056,114.84,50.0,11.859375,"{1: {'delay': 114.974, 'loss': 0.016869029327562624, 'tput': 4.079237485042917}, 'all': {'delay': 114.84, 'loss': 0.01749682008550113, 'tput': 11.857947375977917}, 3: {'delay': 114.638, 'loss': 0.014928706724609997, 'tput': 3.2300692995896716}, 4: {'delay': 114.665, 'loss': 0.01781894823189145, 'tput': 0.6719690891507025}, 5: {'delay': 114.497, 'loss': 0.015893523283305178, 'tput': 0.6389020030492877}, 6: {'delay': 114.249, 'loss': 0.011441355632835992, 'tput': 0.8799289520152211}, 2: {'delay': 114.989, 'loss': 0.021921910326497818, 'tput': 3.415115060362827}}",0.7181048203460334,0.7133758467573033,104.20320011690909,0.7120695624275112,9.6883125,2.1710625
308,3xbbr0ms_3xcubic75ms_queue1500000B,1,12,1500000,bbr,cubic,0,150,90,0.0204811855622008,0.9949535953643124,63.0,,11.980122568738473,90012.838,1.0351052704705692,0.6991265856759776,0.5752907436825875,0.5429865794163871,0.4299945460099547,0.7296168059156333,1021.018,50.0,12.000011086614172,"{1: {'delay': 1019.111, 'loss': 0.016220450229734396, 'tput': 2.4501701238277387}, 'all': {'delay': 1021.018, 'loss': 0.0204811855622008, 'tput': 11.980122568738473}, 3: {'delay': 1020.788, 'loss': 0.02392399612254048, 'tput': 1.7645262765066154}, 4: {'delay': 1021.44, 'loss': 0.01873410295312461, 'tput': 3.802566980411393}, 5: {'delay': 1021.329, 'loss': 0.021388039786948587, 'tput': 2.118799157125261}, 6: {'delay': 1021.733, 'loss': 0.034445004170205795, 'tput': 1.4984550812886295}, 2: {'delay': 1020.345, 'loss': 0.01751300048402593, 'tput': 2.218325563754696}}",0.9998560207330144,0.9350045171008688,672.7066601057023,0.8313771235044879,4.418078740157481,7.581932346456693
309,3xbbr0ms_3xcubic75ms_queue248584B,1,12,248584,bbr,cubic,0,150,90,0.022549726622220326,0.9024031990041584,26.5,,11.9384843763187,90015.181,0.8034942492714079,0.6193440634259113,0.2783980733538417,0.3263335577683651,0.3885427501364832,0.3614445914947689,189.954,50.0,11.9413235,"{1: {'delay': 190.064, 'loss': 0.022508754173931056, 'tput': 3.0107966400596857}, 'all': {'delay': 189.954, 'loss': 0.022549726622220323, 'tput': 11.938484376318701}, 3: {'delay': 190.199, 'loss': 0.03259397088943394, 'tput': 2.077089169536251}, 4: {'delay': 188.404, 'loss': 0.007580297129059721, 'tput': 1.8306615579062098}, 5: {'delay': 188.729, 'loss': 0.008162799110028707, 'tput': 1.8605075058457043}, 6: {'delay': 188.689, 'loss': 0.009652405753910243, 'tput': 2.0923100500608998}, 2: {'delay': 190.64, 'loss': 0.03883756779128433, 'tput': 2.7755064567317134}}",0.9174584586796636,0.9996044159318244,152.5734477195333,0.9968622842137346,6.0894375,5.851886
310,3xbbr0ms_3xcubic75ms_queue184234B,1,12,184234,bbr,cubic,0,150,90,0.02231133781737471,0.9453471835750871,15.5,,11.935554346998744,90008.181,0.8082932201945073,0.5121530660075148,0.20148916489377494,0.3662133875662294,0.3335430267516579,0.3602371771147896,147.291,50.0,11.972848124031007,"{1: {'delay': 147.415, 'loss': 0.022454324449558194, 'tput': 3.0181420064471696}, 'all': {'delay': 147.291, 'loss': 0.02231133781737471, 'tput': 11.935554346998746}, 3: {'delay': 147.661, 'loss': 0.032754773880431576, 'tput': 2.177576932661402}, 4: {'delay': 145.059, 'loss': 0.005692851470143645, 'tput': 1.9630404005187356}, 5: {'delay': 145.001, 'loss': 0.006990126951256559, 'tput': 1.2953865116858239}, 6: {'delay': 145.019, 'loss': 0.006644759717784554, 'tput': 1.9107160101587508}, 2: {'delay': 147.863, 'loss': 0.03627393662379008, 'tput': 3.1525060999099175}}",0.9762776614700884,0.9942874080859212,126.33756574377071,0.9760616018196424,6.440186046511628,5.5326620775193796
311,3xbbr0ms_3xcubic75ms_queue610635B,1,12,610635,bbr,cubic,0,150,90,0.010232885042645856,0.8512116653052326,48.0,,11.979774563587878,90008.44099999998,1.0134227842458785,0.6748714431441853,0.6635527408334625,0.4708688787719772,0.2124561278500652,0.5113973487574022,429.76099999999997,50.0,12.000011,"{1: {'delay': 427.482, 'loss': 0.006693053544016503, 'tput': 2.572608157785986}, 'all': {'delay': 429.761, 'loss': 0.010232885042645856, 'tput': 11.979774563587878}, 3: {'delay': 429.262, 'loss': 0.008546087159590487, 'tput': 1.5504396188651748}, 4: {'delay': 430.062, 'loss': 0.01031124104656933, 'tput': 3.2365804371961}, 5: {'delay': 430.236, 'loss': 0.01316670060202585, 'tput': 2.761887546312542}, 6: {'delay': 430.669, 'loss': 0.019433630771154675, 'tput': 1.7275436596048341}, 2: {'delay': 428.955, 'loss': 0.006863546064980963, 'tput': 2.0840577566834666}}",0.8684863325020127,0.9128406998086688,306.052367016068,0.8681037290748891,4.146,7.854011
312,3xbbr0ms_3xcubic75ms_queue101196B,1,12,101196,bbr,cubic,0,150,90,0.09812226239396593,0.5559407909150118,48.0,,11.818437774142044,90012.644,0.43625181283853903,0.1343808485794938,0.12092039279054788,0.4859167064464007,0.7659564168444133,0.5215096375486413,93.081,50.0,11.789625,"{1: {'delay': 93.044, 'loss': 0.0867747220408005, 'tput': 4.60766578158925}, 'all': {'delay': 93.081, 'loss': 0.09812226239396593, 'tput': 11.818437774142042}, 3: {'delay': 93.094, 'loss': 0.10134557362650354, 'tput': 3.915676332660228}, 4: {'delay': 93.326, 'loss': 0.22290599486005003, 'tput': 0.07628646878542655}, 5: {'delay': 93.309, 'loss': 0.1780892549424008, 'tput': 0.1110198149356648}, 6: {'delay': 93.244, 'loss': 0.21275687725622705, 'tput': 0.0775663505569674}, 2: {'delay': 93.099, 'loss': 0.10273418599239503, 'tput': 3.7344790113396535}}",0.520555586996581,0.5206881818277268,85.5389861270894,0.520536925718764,11.5505625,0.2390625
313,3xbbr0ms_3xcubic75ms_queue823920B,1,12,823920,bbr,cubic,0,150,90,0.01898406677500841,0.8614132583087043,36.5,,11.980375981993024,90011.332,1.0310230321162803,0.6971648446879389,0.5452817119530093,0.4733044316521315,0.4682935003951197,0.4696124413385651,571.424,50.0,12.000086173228345,"{1: {'delay': 569.668, 'loss': 0.010832554758210322, 'tput': 2.4835757282067714}, 'all': {'delay': 571.424, 'loss': 0.018984066775008412, 'tput': 11.980375981993022}, 3: {'delay': 571.024, 'loss': 0.01626392954573075, 'tput': 1.835123650690869}, 4: {'delay': 571.916, 'loss': 0.02720629079653003, 'tput': 3.028845976108413}, 5: {'delay': 572.083, 'loss': 0.026922369347985087, 'tput': 1.6932687136209836}, 6: {'delay': 571.862, 'loss': 0.02369648566222693, 'tput': 2.682167054743674}, 2: {'delay': 570.611, 'loss': 0.011423517645444137, 'tput': 2.2488977836423665}}",0.8983811030879565,0.9442853658333844,394.4529372913792,0.9116410614418192,4.542614173228347,7.457472
314,3xbbr0ms_3xcubic75ms_queue335410B,1,12,335410,bbr,cubic,0,150,90,0.008800723527688679,0.8438725096844917,21.0,,11.967047993050976,90010.90599999997,0.9827448481124318,0.6976377423365854,0.5184376347772949,0.4178599881335996,0.40945845339732656,0.4144876655478754,247.361,50.0,11.9818235,"{1: {'delay': 246.962, 'loss': 0.007357779236919271, 'tput': 2.5900936575970337}, 'all': {'delay': 247.361, 'loss': 0.00880072352768868, 'tput': 11.967047993050977}, 3: {'delay': 248.12, 'loss': 0.014266068449608205, 'tput': 1.9513670544102044}, 4: {'delay': 246.612, 'loss': 0.0052378291210627426, 'tput': 2.959576183544125}, 5: {'delay': 247.035, 'loss': 0.009772188144068661, 'tput': 1.7444539092281799}, 6: {'delay': 246.835, 'loss': 0.008355586871197418, 'tput': 2.3341429774183453}, 2: {'delay': 247.881, 'loss': 0.009894264111867224, 'tput': 2.290516899434197}}",0.9201280295246596,0.9561126038770796,192.06738712336394,0.9232616616931474,4.707375,7.2744485
315,3xbbr0ms_3xcubic75ms_queue452563B,1,12,452563,bbr,cubic,0,150,90,0.008598353954960225,0.9029031757825078,41.0,,11.974079946771047,90014.16699999999,0.9804483828612848,0.6355712057614474,0.4622212367743953,0.295128195529597,0.24970907881014856,0.4079677862882399,323.51099999999997,50.0,11.99219696124031,"{1: {'delay': 321.757, 'loss': 0.004280228023373023, 'tput': 2.6074179001319804}, 'all': {'delay': 323.511, 'loss': 0.008598353954960225, 'tput': 11.974079946771047}, 3: {'delay': 323.513, 'loss': 0.006808381643093497, 'tput': 1.9515446156329803}, 4: {'delay': 324.076, 'loss': 0.012224998449819835, 'tput': 2.516961147924409}, 5: {'delay': 323.97, 'loss': 0.011998808845521847, 'tput': 2.494356241182804}, 6: {'delay': 323.812, 'loss': 0.012259787178812598, 'tput': 2.244396096820921}, 2: {'delay': 322.753, 'loss': 0.0056844009989739375, 'tput': 2.125789552813321}}",0.9142210526099314,0.9583593293876408,237.40403957431184,0.9565229264158236,4.746232558139535,7.245964403100777
316,3xbbr0ms_3xcubic75ms_queue1111701B,1,12,1111701,bbr,cubic,0,150,90,0.01738583976492769,0.8991655594340395,38.0,,11.980473280345784,90010.20300000002,1.1123871317916942,0.5753104609407468,0.4932758793435857,0.5009482120645153,0.4635579801906565,0.5526268797947276,762.692,50.0,12.000011086614172,"{1: {'delay': 759.809, 'loss': 0.007988772069494998, 'tput': 2.3674047884809584}, 'all': {'delay': 762.692, 'loss': 0.01738583976492769, 'tput': 11.980473280345782}, 3: {'delay': 762.446, 'loss': 0.01593795318718827, 'tput': 1.9101621943941112}, 4: {'delay': 763.101, 'loss': 0.015510300371328056, 'tput': 3.5778444605497204}, 5: {'delay': 763.421, 'loss': 0.023751870231748184, 'tput': 1.5362964935090402}, 6: {'delay': 763.576, 'loss': 0.03708871949819026, 'tput': 2.039267939050222}, 2: {'delay': 762.141, 'loss': 0.014355881892691658, 'tput': 2.433698063771812}}",0.9625550334934768,0.9516052584817998,518.0310473880388,0.8597598218325672,4.646929133858269,7.353081952755907
317,3xbbr0ms_3xcubic75ms_queue75000B,1,12,75000,bbr,cubic,0,150,90,0.10408496968078453,0.5555662010446991,15.0,,11.795676411322232,90009.44099999998,0.4786719500722914,0.3639004504144903,0.16296303980566085,0.4950300870069638,0.6965744593756084,0.5273728610447486,74.976,50.0,11.7834375,"{1: {'delay': 75.022, 'loss': 0.08882797619531524, 'tput': 4.941342852796631}, 'all': {'delay': 74.976, 'loss': 0.10408496968078451, 'tput': 11.795676411322232}, 3: {'delay': 74.95, 'loss': 0.11518967900476118, 'tput': 3.8915415699943914}, 4: {'delay': 75.074, 'loss': 0.20179701258887217, 'tput': 0.08395522630553641}, 5: {'delay': 75.283, 'loss': 0.21448258468965886, 'tput': 0.07995735128123076}, 6: {'delay': 75.202, 'loss': 0.22697686036959996, 'tput': 0.07954804293062609}, 2: {'delay': 74.9, 'loss': 0.10770356183279406, 'tput': 3.3984734990691523}}",0.5190723826308794,0.5197067655902807,70.77858647304781,0.5195806370099715,11.555625,0.2278125
318,3xbbr0ms_3xcubic75ms_queue136542B,1,12,136542,bbr,cubic,0,150,90,0.02281603919834385,0.6746313709588238,5.5,,11.847538566080134,90013.42599999998,0.4762091607256253,0.2407885909669034,0.15934097528416644,0.3201767739950252,0.40571926503034506,0.3491025215292599,115.014,50.0,11.8453235,"{1: {'delay': 115.133, 'loss': 0.022243043986160616, 'tput': 4.295621947868027}, 'all': {'delay': 115.014, 'loss': 0.02281603919834385, 'tput': 11.847538566080134}, 3: {'delay': 114.478, 'loss': 0.016023282646558723, 'tput': 3.1352487860505094}, 4: {'delay': 114.425, 'loss': 0.018923405982391506, 'tput': 0.5823562166798444}, 5: {'delay': 114.622, 'loss': 0.024172641920773286, 'tput': 0.7358620143219566}, 6: {'delay': 114.485, 'loss': 0.017284852664769423, 'tput': 0.5686208414857093}, 2: {'delay': 115.288, 'loss': 0.030199684066448462, 'tput': 3.501087170633337}}",0.6774546844433159,0.6767577506232809,103.12944606331993,0.6758325854564887,10.015875,1.8294485
319,3xbbr0ms_3xcubic100ms_queue1500000B,1,12,1500000,bbr,cubic,0,200,90,0.018556394225451082,0.8139218038175845,43.0,,11.979985792445246,90009.859,1.1462277026686345,0.7264167154222503,0.5394533559791025,0.5638664832844983,0.4750473017445986,0.7167157758089368,1020.9989999999999,50.0,12.000011086614172,"{1: {'delay': 1018.75, 'loss': 0.011768754398157166, 'tput': 2.2502816636964185}, 'all': {'delay': 1020.999, 'loss': 0.01855639422545108, 'tput': 11.979985792445248}, 3: {'delay': 1020.832, 'loss': 0.01924687343522924, 'tput': 1.9138992748153385}, 4: {'delay': 1021.248, 'loss': 0.015556803645557449, 'tput': 3.70261686205026}, 5: {'delay': 1021.573, 'loss': 0.02429622215832916, 'tput': 2.0542857555814633}, 6: {'delay': 1021.888, 'loss': 0.03699462178901014, 'tput': 1.5860664677487073}, 2: {'delay': 1020.215, 'loss': 0.01526796213106929, 'tput': 2.3683773120839557}}",0.9177320261677052,0.9330768308986606,672.8762132167217,0.8329622601623851,4.393133858267716,7.606877228346458
320,3xbbr0ms_3xcubic100ms_queue248584B,1,12,248584,bbr,cubic,0,200,90,0.01111053109044047,0.9212628716439816,52.5,,11.9607160439439,90011.403,0.9211564488504932,0.5766238936470487,0.4390064745509774,0.46230229296696096,0.4179360336954863,0.3239555980897357,189.452,50.0,11.9878235,"{1: {'delay': 189.685, 'loss': 0.009616701754403767, 'tput': 2.7743202740919273}, 'all': {'delay': 189.452, 'loss': 0.011110531090440467, 'tput': 11.960716043943899}, 3: {'delay': 190.163, 'loss': 0.01821430337779162, 'tput': 2.2177360272610036}, 4: {'delay': 188.302, 'loss': 0.014209012682017463, 'tput': 1.4488919965094156}, 5: {'delay': 188.194, 'loss': 0.00828357853069861, 'tput': 2.2061407221290184}, 6: {'delay': 187.975, 'loss': 0.005546086368267811, 'tput': 2.8238529880233325}, 2: {'delay': 190.03, 'loss': 0.012149879056632451, 'tput': 2.4121280637631313}}",0.9313590131707962,0.9822239122013142,148.15491172209343,0.9519687717285992,5.1875625,6.800261
321,3xbbr0ms_3xcubic100ms_queue184234B,1,12,184234,bbr,cubic,0,200,90,0.01248928875385513,0.9702350613972841,24.5,,11.943489934439821,90008.602,0.8039883967319048,0.4845513846168684,0.26531054387845604,0.2440257804662374,0.2310477307725697,0.2582185156591341,145.683,50.0,11.959824868217055,"{1: {'delay': 146.085, 'loss': 0.012685291279366795, 'tput': 3.0096450414469533}, 'all': {'delay': 145.683, 'loss': 0.012489288753855132, 'tput': 11.943489934439821}, 3: {'delay': 145.81, 'loss': 0.01902433153536165, 'tput': 2.1839860969628226}, 4: {'delay': 145.036, 'loss': 0.005334858632456085, 'tput': 1.8841283586601223}, 5: {'delay': 145.016, 'loss': 0.006051494783960165, 'tput': 2.289571440142761}, 6: {'delay': 145.079, 'loss': 0.005900576783168576, 'tput': 1.7176714558426085}, 2: {'delay': 146.674, 'loss': 0.01954841786698036, 'tput': 2.564067894381387}}",0.9903329031994612,0.9999941154487,122.50311100942007,0.9920060412053916,5.9944186046511625,5.9654062635658915
322,3xbbr0ms_3xcubic100ms_queue610635B,1,12,610635,bbr,cubic,0,200,90,0.009850725586376008,0.8658518646965209,19.0,,11.979571970884075,90013.97,0.9459822175294748,0.6179519591798108,0.4941254792330759,0.3265900516504691,0.554167550270415,0.44095098341009226,429.88,50.0,12.000011,"{1: {'delay': 428.587, 'loss': 0.007298153642232519, 'tput': 2.702306141952548}, 'all': {'delay': 429.88, 'loss': 0.009850725586376008, 'tput': 11.979571970884075}, 3: {'delay': 429.639, 'loss': 0.009593824625937164, 'tput': 2.263397003328504}, 4: {'delay': 430.182, 'loss': 0.010552371544119032, 'tput': 2.5610229103078117}, 5: {'delay': 430.498, 'loss': 0.011542471259246567, 'tput': 2.390826989388404}, 6: {'delay': 430.456, 'loss': 0.014214683893345348, 'tput': 1.6657837651711567}, 2: {'delay': 429.417, 'loss': 0.008679178324158876, 'tput': 2.225785483673823}}",0.9088594813118456,0.9817330106910024,313.81719409827315,0.9588166378248308,5.1815625,6.8184485
